INCIDENT_NUMBER,SR_CREATION_CHANNEL,INCIDENT_ADDRESS,STATUS,GROUP_NAME,NAME,INCIDENT_DATE,ATTRIBUTE5,ATTRIBUTE6
19060,AGENT,WESTMORELAND STREET 1/2,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,01/09/2009,715891.45,734211.02
50346,AGENT,SAINT STEPHEN'S GREEN 1,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,15/12/2009,715841.96,733614.48
22576,AGENT,FINGLAS ROAD FINGLAS EAST 101,CLOSED,North West Area Office,Abandoned Bicycles or Trolleys,14/09/2009,713406.81,738669.46
37012,AGENT,ERRIGAL ROAD DRIMNAGH 24,CLOSED,South Central Area Office,Abandoned Bicycles or Trolleys,04/11/2009,711797.03,731973.62
25258,AGENT,WESTMORELAND STREET 1/2,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,23/09/2009,715891.45,734211.02
50338,AGENT,SAINT STEPHEN'S GREEN 1,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,15/12/2009,715841.96,733614.48
50352,AGENT,SAINT STEPHEN'S GREEN 1,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,15/12/2009,715841.96,733614.48
50364,AGENT,YORK STREET 58,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,15/12/2009,715501.07,733555.60
31474,AGENT,WILLIAM STREET SOUTH 10,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,15/10/2009,715704.45,733890.04
31188,AGENT,SANDYMOUNT CASTLE DRIVE SANDYMOUNT 1,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,14/10/2009,718912.81,732567.25
19068,AGENT,SOUTH GREAT GEORGE'S STREET 69/70,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,01/09/2009,715551.12,733908.29
19066,AGENT,KING STREET SOUTH 46-50,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,01/09/2009,715763.17,733648.12
25208,AGENT,RATHMINES ROAD UPPER RATHMINES 1,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,23/09/2009,715503.86,731545.71
41220,AGENT,SANDWITH STREET UPPER 1/2,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,17/11/2009,716769.36,733833.06
31766,AGENT,IONA ROAD GLASNEVIN 102,CLOSED,Central Area Office,Abandoned Bicycles or Trolleys,16/10/2009,715570.23,736446.71
19056,AGENT,COLLEGE GREEN 1,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,01/09/2009,715777.73,734103.58
26792,AGENT,DUNSINK AVENUE FINGLAS WEST 52,CLOSED,North West Area Office,Abandoned Bicycles or Trolleys,28/09/2009,712637.32,738481.41
29836,AGENT,THOR PLACE ARBOUR HILL 1,CLOSED,Central Area Office,Abandoned Bicycles or Trolleys,08/10/2009,713695.78,734942.59
21844,AGENT,KING STREET SOUTH 52,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,10/09/2009,715786.34,733630.43
21842,AGENT,KING STREET SOUTH 30,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,10/09/2009,715659.09,733669.24
39122,AGENT,THOMAS STREET 100_108 NATIONAL COLLEGE OF ART & DESIGN,CLOSED,South Central Area Office,Abandoned Bicycles or Trolleys,10/11/2009,714644.42,733906.56
22392,AGENT,WESTLAND ROW 35,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,11/09/2009,716518.58,733870.49
19064,AGENT,KING STREET SOUTH 52,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,01/09/2009,715786.34,733630.43
74802,AGENT,ASHINGTON RISE CABRA 99,CLOSED,Central Area Office,Abandoned Bicycles or Trolleys,02/03/2010,711849.21,737321.43
54240,AGENT,SWAN'S NEST AVENUE KILBARRACK 25,CLOSED,North Central Area Office,Abandoned Bicycles or Trolleys,05/01/2010,722303.03,739267.27
70396,AGENT,RATHGAR ROAD RATHGAR 105,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,16/02/2010,714993.78,730491.58
70618,AGENT,DRUMMOND PLACE HAROLD'S CROSS 1,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,17/02/2010,714905.47,732152.18
91210,AGENT,NEW STREET SOUTH 3,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,30/04/2010,715068.84,733366.37
64480,AGENT,TRINITY STREET 1/2,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,02/02/2010,715715.07,734052.75
79178,AGENT,HARCOURT ROAD 6,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,19/03/2010,715754.97,732785.00
116880,AGENT,OLD COUNTY GLEN CRUMLIN,CLOSED,South Central Area Office,Abandoned Bicycles or Trolleys,01/07/2010,313148,232082
142190,AGENT,HARCOURT ROAD DUBLIN 2,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,30/08/2010,315643,232749
107002,AGENT,GEORGE'S PLACE 1/2,CLOSED,Central Area Office,Abandoned Bicycles or Trolleys,11/06/2010,715605.40,735547.00
104006,AGENT,EXCHANGE STREET LOWER 2,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,03/06/2010,715223.36,734140.28
123210,AGENT,LARKHILL ROAD WHITEHALL,CLOSED,North West Area Office,Abandoned Bicycles or Trolleys,15/07/2010,316494,238368
104464,AGENT,DRUMMOND PLACE HAROLD'S CROSS 8,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,04/06/2010,714924.63,732175.96
117040,AGENT,VILLA PARK DRIVE NAVAN ROAD 3,CLOSED,Central Area Office,Abandoned Bicycles or Trolleys,01/07/2010,712191.13,736276.01
140902,AGENT,NORTHBROOK AVENUE RANELAGH 54,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,25/08/2010,716363.81,732191.28
129448,AGENT,SOUTH LOTTS ROAD RINGSEND,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,29/07/2010,317642,233315
102904,AGENT,CLARENDON ROW DUBLIN 2,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,01/06/2010,315760,233625
129638,AGENT,MERRION ROW 1,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,29/07/2010,716289.98,733427.87
138636,AGENT,BLACKHALL PLACE DUBLIN 7,CLOSED,Central Area Office,Abandoned Bicycles or Trolleys,19/08/2010,314432,234310
108148,AGENT,DRUMMOND PLACE HAROLD'S CROSS 9,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,14/06/2010,714927.43,732179.32
213776,AGENT,TERENURE ROAD NORTH TERENURE,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,23/02/2011,314461,230188
207744,AGENT,WESTLAND ROW 30_32,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,07/02/2011,716482.18,733862.69
222524,AGENT,CAMDEN STREET LOWER 67,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,18/03/2011,715517.27,733019.78
214312,AGENT,HATCH STREET UPPER STYNE HOUSE,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,24/02/2011,715746.61,732971.26
215896,AGENT,LINENHALL STREET SMITHFIELD 23,CLOSED,Central Area Office,Abandoned Bicycles or Trolleys,28/02/2011,714991.01,734761.65
217398,AGENT,KILLESTER PARK KILLESTER 175,CLOSED,North Central Area Office,Abandoned Bicycles or Trolleys,03/03/2011,719217.94,737965.09
248090,AGENT,CLARENDON STREET DUBLIN 2,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,12/05/2011,315785,233685
249098,AGENT,BLACKHORSE AVENUE 147,CLOSED,Central Area Office,Abandoned Bicycles or Trolleys,16/05/2011,712807.34,735644.53
247458,AGENT,HATCH STREET UPPER STYNE HOUSE,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,11/05/2011,715746.61,732971.26
245796,AGENT,WILLIAM STREET SOUTH 60,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,06/05/2011,715725.81,733887.26
253486,AGENT,STORE STREET -RAS MHIC DHIARMADA,CLOSED,Central Area Office,Abandoned Bicycles or Trolleys,26/05/2011,716364.48,734736.48
261606,AGENT,MARLBOROUGH STREET 1,CLOSED,Central Area Office,Abandoned Bicycles or Trolleys,14/06/2011,715923.33,734980.82
235424,AGENT,DAME STREET CITY HALL,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,13/04/2011,715383.60,734029.18
248086,AGENT,PARNELL STREET DUBLIN 1,CLOSED,Central Area Office,Abandoned Bicycles or Trolleys,12/05/2011,315309,234639
248092,AGENT,WILLIAM STREET SOUTH DUBLIN 2,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,12/05/2011,315722,233687
248098,AGENT,AUNGIER STREET DUBLIN 2,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,12/05/2011,315546,233393
248100,AGENT,KING STREET SOUTH DUBLIN 2,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,12/05/2011,315714,233581
248102,AGENT,STEPHEN STREET LOWER DUBLIN 2,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,12/05/2011,315584,233669
248104,AGENT,WEXFORD STREET DUBLIN 2,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,12/05/2011,315567,233171
247972,AGENT,HATCH STREET LOWER 1,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,12/05/2011,716183.16,732995.92
249850,AGENT,MAXWELL STREET DUBLIN 8,CLOSED,Waste Management,Abandoned Bicycles or Trolleys,17/05/2011,314169,233100
256206,AGENT,CLONLIFFE AVENUE BALLYBOUGH,CLOSED,Central Area Office,Abandoned Bicycles or Trolleys,02/06/2011,316734,235769
247032,AGENT,MARLBOROUGH ROAD DONNYBROOK 86,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,10/05/2011,716909.83,731703.02
272900,AGENT,SANDFORD AVENUE 1,CLOSED,South Central Area Office,Abandoned Bicycles or Trolleys,08/07/2011,714384.35,732851.33
287676,AGENT,STORE STREET 1,CLOSED,Central Area Office,Abandoned Bicycles or Trolleys,08/08/2011,716440.32,734745.33
302358,AGENT,HARCOURT STREET 6,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,15/09/2011,715667.94,733284.12
304326,AGENT,O'CONNELL STREET UPPER 14,CLOSED,Central Area Office,Abandoned Bicycles or Trolleys,20/09/2011,715823.53,734822.26
283696,AGENT,WILLIAM STREET SOUTH DUBLIN 2,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,29/07/2011,315722,233687
298870,AGENT,WEXFORD STREET 27,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,06/09/2011,715499.02,733234.29
290888,AGENT,GLASNEVIN DOWNS GLASNEVIN 111,CLOSED,North West Area Office,Abandoned Bicycles or Trolleys,17/08/2011,714049.24,737840.19
281744,AGENT,MANGERTON ROAD DRIMNAGH 101,CLOSED,South Central Area Office,Abandoned Bicycles or Trolleys,26/07/2011,711287.66,732074.43
299328,AGENT,EXCHANGE STREET UPPER 2,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,07/09/2011,715341.66,734073.29
176454,AGENT,BUSHFIELD AVENUE DONNYBROOK,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,18/11/2010,316963,231619
155048,AGENT,DARTMOUTH PLACE RANELAGH,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,04/10/2010,316052,232403
148922,AGENT,DONAGHMEDE AVENUE DONAGHMEDE,CLOSED,North Central Area Office,Abandoned Bicycles or Trolleys,20/09/2010,322411,239553
176428,AGENT,HARCOURT ROAD DUBLIN 2,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,18/11/2010,315643,232749
152108,AGENT,BAGGOT STREET LOWER 14,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,27/09/2010,716408.91,733386.45
148172,AGENT,WESTLAND ROW DUBLIN 2,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,17/09/2010,316568,233820
174576,AGENT,THORNVILLE DRIVE KILBARRACK,CLOSED,North Central Area Office,Abandoned Bicycles or Trolleys,15/11/2010,322829,238928
163410,AGENT,ASHCROFT RAHENY,CLOSED,North Central Area Office,Abandoned Bicycles or Trolleys,22/10/2010,321414,238412
154136,AGENT,CHATHAM ROW 1,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,30/09/2010,715681.65,733732.24
152902,AGENT,BAGGOT STREET LOWER 14,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,28/09/2010,716408.91,733386.45
148984,AGENT,FINGLAS PLACE FINGLAS EAST,CLOSED,North West Area Office,Abandoned Bicycles or Trolleys,21/09/2010,313455,238585
161606,AGENT,MAYOR STREET LOWER I.F.S.C.,CLOSED,Central Area Office,Abandoned Bicycles or Trolleys,18/10/2010,316866,234623
161996,AGENT,FADE STREET DUBLIN 2,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,19/10/2010,315630,233783
163402,AGENT,AVONDALE PARK RAHENY,CLOSED,North Central Area Office,Abandoned Bicycles or Trolleys,22/10/2010,321537,237992
276,AGENT,REDMOND'S HILL 13,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,27/06/2009,715469.88,733367.32
369256,AGENT,GERALD STREET RINGSEND 15,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,14/03/2012,717506.45,733753.09
14238,AGENT,MAIN STREET FINGLAS EAST 1/2,CLOSED,North West Area Office,Abandoned Bicycles or Trolleys,12/08/2009,713188.88,738920.22
13238,AGENT,ONTARIO TERRACE RANELAGH 1,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,07/08/2009,715694.01,732450.34
290,AGENT,JAMES'S STREET 145/146,CLOSED,South Central Area Office,Abandoned Bicycles or Trolleys,27/06/2009,713715.91,733879.75
18370,AGENT,BALLYBOUGH ROAD BALLYBOUGH 10,CLOSED,Central Area Office,Abandoned Bicycles or Trolleys,28/08/2009,716722.15,735750.51
12048,AGENT,DODDER VIEW COTTAGES BALLSBRIDGE 37,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,04/08/2009,717871.67,732600.07
362138,AGENT,ARNOTT STREET 17,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,20/02/2012,715227.06,733009.67
11904,AGENT,WILLIAM STREET SOUTH 52,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,04/08/2009,715690.54,733787.65
3368,AGENT,JAMES'S STREET 109 JAMES'S STREET POST OFFICE,CLOSED,South Central Area Office,Abandoned Bicycles or Trolleys,08/07/2009,714029.02,733985.48
3366,AGENT,THOMAS STREET 29,CLOSED,South Central Area Office,Abandoned Bicycles or Trolleys,08/07/2009,714479.41,733895.19
8962,AGENT,ANNE'S LANE 1,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,23/07/2009,715893.96,733705.48
248,AGENT,DUFFERIN AVENUE 1,CLOSED,South Central Area Office,Abandoned Bicycles or Trolleys,27/06/2009,714461.19,732647.24
375306,AGENT,DE BURGH ROAD INFIRMARY ROAD 1,CLOSED,Central Area Office,Abandoned Bicycles or Trolleys,02/04/2012,713553.98,734507.61
17842,AGENT,RATHMINES ROAD UPPER RATHMINES 1,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,26/08/2009,715503.86,731545.71
375654,AGENT,CLARENCE MANGAN ROAD 42,OPEN,South Central Area Office,Abandoned Bicycles or Trolleys,03/04/2012,714652.60,733157.88
5686,AGENT,COLLEGE GREEN 1,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,15/07/2009,715777.73,734103.58
374292,AGENT,KILLESTER PARK KILLESTER,CLOSED,North Central Area Office,Abandoned Bicycles or Trolleys,30/03/2012,319246,237618
16962,AGENT,RATHMINES ROAD UPPER RATHMINES 1-3,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,21/08/2009,715518.32,731537.18
1570,AGENT,FRANCIS STREET 67,CLOSED,South Central Area Office,Abandoned Bicycles or Trolleys,01/07/2009,714965.42,733553.45
13640,AGENT,LORCAN GROVE SANTRY 25,CLOSED,North Central Area Office,Abandoned Bicycles or Trolleys,10/08/2009,717225.96,739335.51
1492,AGENT,SLADEMORE AVENUE ARD NA GR+INE 59,CLOSED,North Central Area Office,Abandoned Bicycles or Trolleys,01/07/2009,720560.50,739969.74
327596,AGENT,PEARSE STREET DUBLIN 2,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,08/11/2011,316103,233888
307706,AGENT,EXCHANGE STREET UPPER DUBLIN 8,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,27/09/2011,315392,234018
311408,AGENT,HARCOURT STREET 6,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,04/10/2011,715667.94,733284.12
324476,AGENT,FADE STREET DUBLIN 2,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,01/11/2011,315630,233783
348598,AGENT,SAINT PAPPIN ROAD WADELAI 99,CLOSED,North West Area Office,Abandoned Bicycles or Trolleys,05/01/2012,714788.52,738757.60
339106,AGENT,SAINT PAPPIN ROAD WADELAI 99,CLOSED,North West Area Office,Abandoned Bicycles or Trolleys,07/12/2011,714788.52,738757.60
357532,AGENT,SAINT PAPPIN ROAD WADELAI 99,CLOSED,North West Area Office,Abandoned Bicycles or Trolleys,01/02/2012,714788.52,738757.60
351780,AGENT,BOLTON STREET DUBLIN 1,CLOSED,Central Area Office,Abandoned Bicycles or Trolleys,13/01/2012,315245,234793
336726,AGENT,DAME STREET 15,CLOSED,Roads Maintenance,Abandoned Bicycles or Trolleys,30/11/2011,715511.26,734051.01
367898,AGENT,SOUTH LOTTS ROAD RINGSEND,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,06/03/2012,317642,233315
348538,AGENT,SAINT JOHN'S COTTAGES KILMAINHAM LANE KILMAINHAM 1,CLOSED,Waste Management,Abandoned Bicycles or Trolleys,05/01/2012,713094.01,733735.60
364346,AGENT,RANELAGH 12,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,24/02/2012,716195.07,732083.97
185140,AGENT,BEAVER STREET DUBLIN 1,CLOSED,Waste Management,Abandoned Vehicle Inspection,13/12/2010,316536,234982
186322,AGENT,GRIFFITH COURT MARINO,CLOSED,Waste Management,Abandoned Vehicle Inspection,15/12/2010,316964,236790
185730,AGENT,COULSON AVENUE RATHGAR,CLOSED,Waste Management,Abandoned Vehicle Inspection,14/12/2010,314853,230683
185004,AGENT,SUNDRIVE ROAD CRUMLIN 138,CLOSED,Waste Management,Abandoned Vehicle Inspection,13/12/2010,713489.81,731808.18
182842,AGENT,PRIMROSE GROVE DARNDALE,CLOSED,Waste Management,Abandoned Vehicle Inspection,07/12/2010,320267,240445
184004,AGENT,BEAVER STREET THE FOUNDRY 16,CLOSED,Waste Management,Abandoned Vehicle Inspection,09/12/2010,716464.74,735067.83
186976,AGENT,GRIFFITH AVENUE 86,CLOSED,Waste Management,Abandoned Vehicle Inspection,16/12/2010,717220.72,737213.90
178750,AGENT,COULSON AVENUE RATHGAR 3,CLOSED,Waste Management,Abandoned Vehicle Inspection,24/11/2010,714854.27,730746.18
34028,AGENT,DE VALERA PLACE PHIBSBOROUGH 5,CLOSED,Waste Management,Abandoned Vehicle Inspection,27/10/2009,715605.62,735681.70
28570,AGENT,PARK VIEW CABRA 27,CLOSED,Central Area Office,Abandoned Vehicle Inspection,05/10/2009,713300.23,735757.71
32250,AGENT,MONCK PLACE PHIBSBOROUGH 28,CLOSED,Waste Management,Abandoned Vehicle Inspection,19/10/2009,714871.18,735672.31
25812,AGENT,COLLINSWOOD COLLINS AVENUE DONNYCARNEY 290,CLOSED,Waste Management,Abandoned Vehicle Inspection,24/09/2009,717351.50,738416.95
18524,AGENT,KEMPTON WAY NAVAN ROAD 12,CLOSED,Waste Management,Abandoned Vehicle Inspection,28/08/2009,711367.48,737129.03
28578,AGENT,GULISTAN PLACE RATHMINES 13,CLOSED,Waste Management,Abandoned Vehicle Inspection,05/10/2009,715780.68,731849.00
32174,AGENT,SAINT LAWRENCE ROAD CLONTARF 87,CLOSED,Waste Management,Abandoned Vehicle Inspection,19/10/2009,718888.06,736580.00
29492,AGENT,MOUNT DILLON COURT MALAHIDE ROAD ARTANE FLATS 22-33,CLOSED,Waste Management,Abandoned Vehicle Inspection,07/10/2009,719406.93,738589.55
27914,AGENT,BUSHY PARK ROAD TERENURE RATHGAR HOUSE,CLOSED,Waste Management,Abandoned Vehicle Inspection,01/10/2009,714755.52,730010.20
28754,AGENT,KILDONAN DRIVE FINGLAS WEST 56,CLOSED,Waste Management,Abandoned Vehicle Inspection,05/10/2009,712357.35,739229.49
45770,AGENT,WILFIELD ROAD BALLSBRIDGE 15,CLOSED,Waste Management,Abandoned Vehicle Inspection,02/12/2009,718618.28,732285.81
21574,AGENT,DEVENISH ROAD CRUMLIN 49,CLOSED,Waste Management,Abandoned Vehicle Inspection,09/09/2009,713514.21,731331.86
24294,AGENT,GLENMALURE SQUARE MILLTOWN 1,CLOSED,Waste Management,Abandoned Vehicle Inspection,18/09/2009,716803.07,730723.03
27120,AGENT,THORNCASTLE STREET RINGSEND 2,CLOSED,Waste Management,Abandoned Vehicle Inspection,29/09/2009,718041.07,733869.08
41464,AGENT,PALMERSTON GARDENS RATHMINES 2 GLORAGH,CLOSED,Waste Management,Abandoned Vehicle Inspection,18/11/2009,715950.51,730875.14
20114,AGENT,FITZROY AVENUE DRUMCONDRA 55A,CLOSED,Waste Management,Abandoned Vehicle Inspection,03/09/2009,715996.28,736092.07
43332,AGENT,BEAU PARK STREET CLONGRIFFIN 28,CLOSED,Waste Management,Abandoned Vehicle Inspection,25/11/2009,722874.87,740657.12
33222,AGENT,PORTLAND ROW 32,CLOSED,Waste Management,Abandoned Vehicle Inspection,21/10/2009,716631.89,735386.72
19034,AGENT,RUTLEDGE TERRACE 13,CLOSED,Waste Management,Abandoned Vehicle Inspection,01/09/2009,714476.02,732937.26
32172,AGENT,MORNINGTON ROAD RANELAGH 14,CLOSED,Waste Management,Abandoned Vehicle Inspection,19/10/2009,716450.86,731648.96
36552,AGENT,GLENCLOY ROAD WHITEHALL 63,CLOSED,Waste Management,Abandoned Vehicle Inspection,03/11/2009,716628.86,738525.78
41890,AGENT,RICHMOND STREET NORTH 3,CLOSED,Waste Management,Abandoned Vehicle Inspection,19/11/2009,716452.66,735684.53
18722,AGENT,CALEDON ROAD EAST WALL 4,CLOSED,Waste Management,Abandoned Vehicle Inspection,31/08/2009,717694.44,735107.66
19004,AGENT,WALKINSTOWN AVENUE WALKINSTOWN 128,CLOSED,Waste Management,Abandoned Vehicle Inspection,01/09/2009,710939.64,731022.21
34390,AGENT,CLOGHER ROAD CRUMLIN 339,CLOSED,Waste Management,Abandoned Vehicle Inspection,28/10/2009,714159.12,732313.85
32212,AGENT,LEINSTER PLACE RATHMINES 8,CLOSED,Waste Management,Abandoned Vehicle Inspection,19/10/2009,714687.70,731609.23
33316,AGENT,BRIGHTON GARDENS TERENURE 7,CLOSED,Waste Management,Abandoned Vehicle Inspection,21/10/2009,714605.32,730543.65
35956,AGENT,CRUMLIN ROAD CRUMLIN 76,CLOSED,Waste Management,Abandoned Vehicle Inspection,02/11/2009,713452.48,732538.71
22406,AGENT,SANDYMOUNT CASTLE DRIVE SANDYMOUNT 1,CLOSED,Waste Management,Abandoned Vehicle Inspection,11/09/2009,718912.81,732567.25
27152,AGENT,BLACKHORSE AVENUE 213,CLOSED,Waste Management,Abandoned Vehicle Inspection,29/09/2009,712683.32,735806.56
38370,AGENT,MOUNTSHANNON ROAD KILMAINHAM 11,CLOSED,Waste Management,Abandoned Vehicle Inspection,09/11/2009,713199.94,733312.97
38988,AGENT,SAINT ATTRACTA ROAD CABRA 337,CLOSED,Waste Management,Abandoned Vehicle Inspection,10/11/2009,713863.38,736429.17
20846,AGENT,FOYLE ROAD FAIRVIEW 32,CLOSED,Waste Management,Abandoned Vehicle Inspection,07/09/2009,717029.73,736612.18
44012,AGENT,HERBERTON PARK RIALTO 7,CLOSED,Waste Management,Abandoned Vehicle Inspection,27/11/2009,713367.74,733039.09
24570,AGENT,COLLINS AVENUE 1,CLOSED,Waste Management,Abandoned Vehicle Inspection,21/09/2009,718490.43,737626.08
42880,AGENT,CHURCH AVENUE GRACE PARK ROAD DRUMCONDRA 33,CLOSED,Waste Management,Abandoned Vehicle Inspection,23/11/2009,716343.97,737053.53
42886,AGENT,CHURCH AVENUE GRACE PARK ROAD DRUMCONDRA 33,CLOSED,Waste Management,Abandoned Vehicle Inspection,23/11/2009,716343.97,737053.53
22308,AGENT,BEN EDAIR ROAD ARBOUR HILL 29,CLOSED,Waste Management,Abandoned Vehicle Inspection,11/09/2009,713832.04,735088.58
25336,AGENT,MOURNE ROAD DRIMNAGH 339,CLOSED,Waste Management,Abandoned Vehicle Inspection,23/09/2009,712704.99,732782.23
20210,AGENT,SNOWDROP WALK DARNDALE 137,CLOSED,Waste Management,Abandoned Vehicle Inspection,04/09/2009,720637.74,740440.15
22966,AGENT,NORTH GREAT CLARENCE STREET 18,CLOSED,Waste Management,Abandoned Vehicle Inspection,15/09/2009,716682.15,735438.70
49352,AGENT,RATHDOWN ROAD PHIBSBOROUGH 21,CLOSED,Waste Management,Abandoned Vehicle Inspection,11/12/2009,714553.61,735537.20
23566,AGENT,CRESTFIELD DRIVE WHITEHALL 56,CLOSED,Waste Management,Abandoned Vehicle Inspection,16/09/2009,716297.24,738845.05
35050,AGENT,CLARENCE MANGAN ROAD 66,CLOSED,Waste Management,Abandoned Vehicle Inspection,29/10/2009,714798.08,732962.86
35488,AGENT,THE WILLOWS FINGLAS 5,CLOSED,Waste Management,Abandoned Vehicle Inspection,30/10/2009,714289.92,737090.87
33694,AGENT,AUGHAVANNAGH ROAD HAROLD'S CROSS 30,CLOSED,Waste Management,Abandoned Vehicle Inspection,22/10/2009,713989.74,732415.44
20214,AGENT,CLAREMONT COURT GLASNEVIN 25,CLOSED,Waste Management,Abandoned Vehicle Inspection,04/09/2009,714329.51,736918.44
43984,AGENT,HERBERTON PARK RIALTO 32,CLOSED,Waste Management,Abandoned Vehicle Inspection,27/11/2009,713418.77,732980.62
20396,AGENT,BRIDE CLOSE BRIDE STREET 5 DURNEY,CLOSED,Waste Management,Abandoned Vehicle Inspection,04/09/2009,715247.00,733707.36
49324,AGENT,FOYLE ROAD FAIRVIEW 2,CLOSED,Waste Management,Abandoned Vehicle Inspection,11/12/2009,717125.18,736712.33
29472,AGENT,SAINT DECLAN'S ROAD MARINO 1,CLOSED,Waste Management,Abandoned Vehicle Inspection,07/10/2009,717839.44,736770.30
39848,AGENT,ALBERT COLLEGE LAWN WHITEHALL 16,CLOSED,Waste Management,Abandoned Vehicle Inspection,12/11/2009,715555.57,738632.43
47540,AGENT,LONG MILE ROAD WALKINSTOWN 87,CLOSED,Waste Management,Abandoned Vehicle Inspection,08/12/2009,710880.38,731655.12
30326,AGENT,HOME FARM ROAD DRUMCONDRA 99,CLOSED,Waste Management,Abandoned Vehicle Inspection,09/10/2009,715707.30,737561.51
32380,AGENT,NORTH CIRCULAR ROAD 43,CLOSED,Waste Management,Abandoned Vehicle Inspection,19/10/2009,713445.29,735090.82
21010,AGENT,AYRFIELD ROAD AYRFIELD 11,CLOSED,Waste Management,Abandoned Vehicle Inspection,08/09/2009,720396.13,739546.18
41684,AGENT,PARK VIEW CABRA 27,CLOSED,Waste Management,Abandoned Vehicle Inspection,18/11/2009,713300.23,735757.71
40050,AGENT,DRUMCONDRA ROAD LOWER DRUMCONDRA 15/17,CLOSED,Waste Management,Abandoned Vehicle Inspection,12/11/2009,715902.00,736078.60
24706,AGENT,DOON AVENUE CABRA 2,CLOSED,Waste Management,Abandoned Vehicle Inspection,21/09/2009,713655.73,735586.30
50468,AGENT,RIALTO COTTAGES RIALTO 130,CLOSED,Waste Management,Abandoned Vehicle Inspection,15/12/2009,713425.79,733117.54
