INCIDENT_NUMBER,SR_CREATION_CHANNEL,INCIDENT_ADDRESS,STATUS,GROUP_NAME,NAME,INCIDENT_DATE,ATTRIBUTE5,ATTRIBUTE6
330488,AGENT,KIMMAGE ROAD LOWER KIMMAGE 240,CLOSED,South Central Area Office,Illegal Dumping,16/11/2011,713776.65,731058.48
330374,AGENT,NORTH STRAND ROAD NORTH STRAND 151A,CLOSED,Central Area Office,Illegal Dumping,15/11/2011,716913.20,735494.94
330166,AGENT,CASEMENT GREEN FINGLAS WEST 35,CLOSED,North West Area Office,Illegal Dumping,15/11/2011,712515.80,739651.20
313554,AGENT,HOME FARM ROAD DRUMCONDRA,CLOSED,Central Area Office,Illegal Dumping,10/10/2011,315538,237314
313604,AGENT,ASHDALE ROAD TERENURE,CLOSED,South East Area Office,Illegal Dumping,10/10/2011,314246,230524
330096,AGENT,KYLEMORE AVENUE BALLYFERMOT 39,CLOSED,South Central Area Office,Illegal Dumping,15/11/2011,709846.55,733228.60
313614,AGENT,CALEDON ROAD EAST WALL,CLOSED,Central Area Office,Illegal Dumping,10/10/2011,317389,235057
314026,AGENT,MOUNTJOY SQUARE EAST DUBLIN 1,CLOSED,Central Area Office,Illegal Dumping,11/10/2011,316093,235409
315404,AGENT,CAMDEN STREET LOWER 29,CLOSED,South East Area Office,Illegal Dumping,13/10/2011,715558.34,733016.54
313508,AGENT,BERRYFIELD ROAD FINGLAS SOUTH 64,CLOSED,North West Area Office,Illegal Dumping,10/10/2011,712689.83,738164.40
312686,AGENT,HERBERTON ROAD CRUMLIN 1,CLOSED,South Central Area Office,Illegal Dumping,07/10/2011,713336.69,732471.40
331120,AGENT,PARKMORE DRIVE TERENURE 53,CLOSED,South Central Area Office,Illegal Dumping,17/11/2011,713500.62,730106.04
314586,AGENT,EASTMORELAND LANE BALLSBRIDGE 40,CLOSED,South East Area Office,Illegal Dumping,12/10/2011,717052.19,732916.08
315104,AGENT,WATERMILL PARK RAHENY 20,CLOSED,North Central Area Office,Illegal Dumping,13/10/2011,721464.70,737828.69
315776,AGENT,MANOR STREET STONEYBATTER 42,CLOSED,Central Area Office,Illegal Dumping,14/10/2011,714155.80,735065.50
315882,AGENT,BLARNEY PARK CRUMLIN,CLOSED,South Central Area Office,Illegal Dumping,14/10/2011,313608,231200
312572,AGENT,LENNOX STREET 46,CLOSED,South East Area Office,Illegal Dumping,07/10/2011,715305.65,732623.00
314230,AGENT,MILLBROOK AVENUE DONAGHMEDE,CLOSED,North Central Area Office,Illegal Dumping,11/10/2011,321215,239445
314858,AGENT,DRUMCONDRA ROAD UPPER DRUMCONDRA 49,CLOSED,Central Area Office,Illegal Dumping,12/10/2011,716298.69,737384.39
330916,AGENT,SHANGAN ROAD BALLYMUN VIRGIN MARY BOYS NATIONAL SCHOOL,CLOSED,North West Area Office,Illegal Dumping,17/11/2011,715692.05,739805.40
313584,AGENT,MERTON PARK DUBLIN 8,CLOSED,South Central Area Office,Illegal Dumping,10/10/2011,314586,232819
